# t C_xx C_xy C_xz C_yx C_yy C_yz C_zx C_zy C_zz 
59.002 -4.168837e+01 -3.334330e+00 1.423091e-03 3.636589e+00 -3.825329e+01 1.676190e-02 -2.100521e-03 1.795076e-02 3.203776e+01
60.002 -3.172920e+01 2.503677e+01 -1.040148e-02 -2.728300e+01 -2.911392e+01 1.183973e-02 -2.241428e-03 1.670411e-02 3.203779e+01
61.002 -2.651197e+00 3.832148e+01 -1.465826e-02 -4.176231e+01 -2.431838e+00 4.422393e-04 -2.651269e-03 1.543002e-02 3.203779e+01
62.002 2.802511e+01 2.851497e+01 -9.573212e-03 -3.107673e+01 2.571594e+01 -9.803306e-03 -3.144254e-03 1.428482e-02 3.203776e+01
63.002 4.181414e+01 1.525035e+00 6.781845e-04 -1.663862e+00 3.836757e+01 -1.281538e-02 -3.554235e-03 1.322612e-02 3.203775e+01
64.002 3.040590e+01 -2.638371e+01 9.194375e-03 2.875129e+01 2.789839e+01 -7.667449e-03 -3.851284e-03 1.219090e-02 3.203777e+01
65.002 6.762172e-01 -3.839368e+01 1.095428e-02 4.184080e+01 6.183060e-01 1.358681e-03 -3.999859e-03 1.107653e-02 3.203778e+01
66.002 -2.946067e+01 -2.726916e+01 5.846319e-03 2.971836e+01 -2.703425e+01 8.109435e-03 -4.120360e-03 9.835493e-03 3.203777e+01
67.002 -4.184570e+01 2.869060e-01 -1.948932e-03 -3.119752e-01 -3.839712e+01 8.709764e-03 -4.409511e-03 8.503640e-03 3.203775e+01
68.002 -2.901497e+01 2.767038e+01 -7.169699e-03 -3.015500e+01 -2.662226e+01 3.706885e-03 -4.973776e-03 7.323173e-03 3.203774e+01
69.002 1.300375e+00 3.837948e+01 -6.998996e-03 -4.182675e+01 1.195671e+00 -2.806532e-03 -5.366511e-03 6.562608e-03 3.203775e+01
70.002 3.083147e+01 2.596088e+01 -2.654405e-03 -2.829377e+01 2.829283e+01 -6.556145e-03 -5.213495e-03 6.041502e-03 3.203778e+01
71.002 4.178362e+01 -2.100655e+00 2.267033e-03 2.287816e+00 3.834120e+01 -6.055375e-03 -4.509336e-03 5.539077e-03 3.203780e+01
72.002 2.755823e+01 -2.889652e+01 4.802150e-03 3.149113e+01 2.528678e+01 -2.853058e-03 -3.330563e-03 4.771874e-03 3.203777e+01
73.002 -3.274181e+00 -3.828009e+01 4.372965e-03 4.171894e+01 -3.005472e+00 3.298126e-04 -2.002249e-03 3.462702e-03 3.203774e+01
74.002 -3.213374e+01 -2.459554e+01 2.423208e-03 2.680673e+01 -2.948668e+01 1.738867e-03 -1.068961e-03 1.687671e-03 3.203775e+01
75.002 -4.162924e+01 3.910000e+00 8.198953e-04 -4.258349e+00 -3.819888e+01 1.437778e-03 -8.055984e-04 -1.262073e-04 3.203777e+01
76.002 -2.604023e+01 3.005922e+01 3.485926e-04 -3.275681e+01 -2.389369e+01 6.839823e-04 -1.083981e-03 -1.529606e-03 3.203777e+01
77.000 5.173770e+00 3.810377e+01 4.135348e-04 -4.152549e+01 4.748113e+00 4.600660e-04 -1.530040e-03 -2.237852e-03 3.203775e+01
78.000 3.332308e+01 2.322604e+01 1.333297e-04 -2.531317e+01 3.057701e+01 5.704357e-04 -1.762460e-03 -2.320297e-03 3.203774e+01
79.000 4.139236e+01 -5.648050e+00 -6.368061e-04 6.153200e+00 3.798023e+01 1.159491e-04 -1.326017e-03 -1.930880e-03 3.203773e+01
80.000 2.451849e+01 -3.111857e+01 -9.719748e-04 3.391144e+01 2.249598e+01 -1.445550e-03 1.290501e-04 -1.597278e-03 3.203775e+01
81.000 -7.129189e+00 -3.783704e+01 4.164430e-04 4.123442e+01 -6.543737e+00 -3.291624e-03 2.169490e-03 -1.831217e-03 3.203779e+01
82.000 -3.448067e+01 -2.175654e+01 3.506801e-03 2.371084e+01 -3.164021e+01 -3.474355e-03 4.152715e-03 -2.667393e-03 3.203778e+01
83.000 -4.105541e+01 7.434045e+00 6.273403e-03 -8.100979e+00 -3.767157e+01 -7.226926e-04 5.629822e-03 -3.909902e-03 3.203775e+01
84.000 -2.289007e+01 3.214526e+01 6.080948e-03 -3.503194e+01 -2.100185e+01 3.899370e-03 6.349236e-03 -5.155011e-03 3.203774e+01
85.000 9.068523e+00 3.748516e+01 2.045330e-03 -4.085238e+01 8.323678e+00 7.277911e-03 6.404022e-03 -5.885209e-03 3.203776e+01
86.000 3.556172e+01 2.023713e+01 -3.756584e-03 -2.205614e+01 3.263306e+01 6.509423e-03 6.333735e-03 -5.852833e-03 3.203777e+01
87.000 4.062643e+01 -9.204874e+00 -7.388655e-03 1.003019e+01 3.727906e+01 1.277685e-03 6.642013e-03 -5.194332e-03 3.203777e+01
88.000 2.121060e+01 -3.310059e+01 -5.806377e-03 3.607313e+01 1.946206e+01 -5.317431e-03 7.500431e-03 -4.356539e-03 3.203775e+01
89.000 -1.098710e+01 -3.705038e+01 5.663947e-04 4.037916e+01 -1.008285e+01 -8.627001e-03 8.687879e-03 -3.680874e-03 3.203774e+01
90.000 -3.656419e+01 -1.867306e+01 7.743245e-03 2.035260e+01 -3.355191e+01 -5.839702e-03 1.012617e-02 -3.237462e-03 3.203775e+01
91.000 -4.010741e+01 1.095654e+01 1.061628e-02 -1.193785e+01 -3.680225e+01 1.889609e-03 1.156147e-02 -3.106484e-03 3.203778e+01
92.000 -1.948299e+01 3.398357e+01 6.409391e-03 -3.703401e+01 -1.787671e+01 9.693168e-03 1.264504e-02 -3.034772e-03 3.203780e+01
93.000 1.288155e+01 3.653356e+01 -2.872639e-03 -3.981473e+01 1.182068e+01 1.188073e-02 1.342859e-02 -2.750703e-03 3.203777e+01
94.000 3.748476e+01 1.706879e+01 -1.119842e-02 -1.860326e+01 3.439556e+01 6.081596e-03 1.411550e-02 -2.231653e-03 3.203774e+01
95.000 3.949959e+01 -1.268194e+01 -1.247863e-02 1.381875e+01 3.624326e+01 -4.498690e-03 1.477431e-02 -1.543157e-03 3.203776e+01
96.000 1.771257e+01 -3.479012e+01 -5.130551e-03 3.791294e+01 1.625086e+01 -1.283797e-02 1.545560e-02 -7.654897e-04 3.203777e+01
97.000 -1.474698e+01 -3.593474e+01 6.379186e-03 3.916158e+01 -1.353356e+01 -1.290062e-02 1.612566e-02 -1.831092e-05 3.203777e+01
98.000 -3.832067e+01 -1.542658e+01 1.425884e-02 1.681256e+01 -3.516333e+01 -4.054532e-03 1.661034e-02 6.805140e-04 3.203776e+01
99.000 -3.880329e+01 1.437755e+01 1.268493e-02 -1.566807e+01 -3.560460e+01 8.001346e-03 1.669080e-02 1.418460e-03 3.203774e+01
100.000 -1.590299e+01 3.551796e+01 2.214388e-03 -3.870763e+01 -1.459023e+01 1.495388e-02 1.653883e-02 2.530893e-03 3.203774e+01
101.000 1.658027e+01 3.525475e+01 -1.035327e-02 -3.842177e+01 1.521641e+01 1.162352e-02 1.666628e-02 4.017938e-03 3.203776e+01
102.000 3.907158e+01 1.374764e+01 -1.641810e-02 -1.498378e+01 3.585337e+01 -4.206298e-04 1.719439e-02 5.637768e-03 3.203779e+01
103.000 3.801944e+01 -1.604301e+01 -1.127774e-02 1.748274e+01 3.488651e+01 -1.348845e-02 1.809711e-02 7.154382e-03 3.203778e+01
104.000 1.405728e+01 -3.616701e+01 2.348094e-03 3.941533e+01 1.289792e+01 -1.860135e-02 1.919563e-02 8.225453e-03 3.203774e+01
105.000 -1.837647e+01 -3.449670e+01 1.562620e-02 3.759649e+01 -1.686337e+01 -1.169067e-02 2.001395e-02 8.716816e-03 3.203774e+01
106.000 -3.973610e+01 -1.203836e+01 1.940493e-02 1.312221e+01 -3.646234e+01 3.164836e-03 2.009325e-02 8.913790e-03 3.203775e+01
107.000 -3.715132e+01 1.767369e+01 1.067924e-02 -1.925840e+01 -3.408960e+01 1.612410e-02 1.940852e-02 9.259270e-03 3.203776e+01
108.000 -1.218046e+01 3.673629e+01 -5.054016e-03 -4.003436e+01 -1.117596e+01 1.824001e-02 1.822639e-02 1.013442e-02 3.203776e+01
109.000 2.013061e+01 3.366301e+01 -1.719881e-02 -3.668682e+01 1.847213e+01 7.655032e-03 1.695753e-02 1.160240e-02 3.203773e+01
110.000 4.031179e+01 1.030452e+01 -1.723104e-02 -1.123184e+01 3.698932e+01 -8.759191e-03 1.598002e-02 1.354339e-02 3.203773e+01
111.000 3.620106e+01 -1.926383e+01 -4.781007e-03 2.099166e+01 3.321627e+01 -1.991690e-02 1.582074e-02 1.562962e-02 3.203773e+01
112.000 1.027598e+01 -3.722344e+01 1.211093e-02 4.056499e+01 9.427049e+00 -1.809267e-02 1.641921e-02 1.722105e-02 3.203777e+01
113.000 -2.184037e+01 -3.275320e+01 2.229680e-02 3.569458e+01 -2.004215e+01 -4.075013e-03 1.714869e-02 1.806122e-02 3.203778e+01
114.000 -4.079669e+01 -8.547231e+00 1.876659e-02 9.315535e+00 -3.743492e+01 1.319942e-02 1.747376e-02 1.823835e-02 3.203776e+01
115.000 -3.516961e+01 2.080969e+01 3.457036e-03 -2.267794e+01 -3.227002e+01 2.235061e-02 1.704472e-02 1.804461e-02 3.203773e+01
116.000 -8.349096e+00 3.762645e+01 -1.373789e-02 -4.100571e+01 -7.658695e+00 1.711180e-02 1.575980e-02 1.797712e-02 3.203774e+01
117.000 2.350168e+01 3.176938e+01 -2.141817e-02 -3.462364e+01 2.156734e+01 7.690138e-04 1.400170e-02 1.846167e-02 3.203776e+01
118.000 4.119050e+01 6.769252e+00 -1.441111e-02 -7.378709e+00 3.779736e+01 -1.589157e-02 1.236248e-02 1.952134e-02 3.203777e+01
119.000 3.405924e+01 -2.230984e+01 2.682317e-03 2.431265e+01 3.125236e+01 -2.177708e-02 1.121761e-02 2.083676e-02 3.203775e+01
120.000 6.404080e+00 -3.794578e+01 1.847162e-02 4.135423e+01 5.875247e+00 -1.287653e-02 1.049889e-02 2.193147e-02 3.203774e+01
121.000 -2.511065e+01 -3.071544e+01 2.241467e-02 3.347597e+01 -2.304260e+01 4.868864e-03 1.004923e-02 2.265625e-02 3.203774e+01
122.000 -4.149344e+01 -4.975554e+00 1.196747e-02 5.425161e+00 -3.807466e+01 1.967417e-02 9.770383e-03 2.289407e-02 3.203776e+01
123.000 -3.287264e+01 2.376205e+01 -5.954460e-03 -2.589387e+01 -3.016331e+01 2.194298e-02 9.263497e-03 2.272888e-02 3.203779e+01
124.000 -4.443921e+00 3.818146e+01 -1.972646e-02 -4.160981e+01 -4.076920e+00 1.037102e-02 8.391124e-03 2.250044e-02 3.203778e+01
125.000 2.666345e+01 2.959389e+01 -2.058628e-02 -3.225269e+01 2.446651e+01 -7.418545e-03 7.343985e-03 2.235355e-02 3.203775e+01
126.000 4.170395e+01 3.172677e+00 -8.244828e-03 -3.459674e+00 3.826657e+01 -1.991084e-02 6.283611e-03 2.226080e-02 3.203774e+01
127.000 3.161363e+01 -2.516016e+01 9.019607e-03 2.741764e+01 2.900674e+01 -1.923220e-02 5.278288e-03 2.216701e-02 3.203776e+01
128.000 2.474146e+00 -3.833163e+01 1.990759e-02 4.177302e+01 2.268227e+00 -6.270097e-03 4.392568e-03 2.194233e-02 3.203777e+01
129.000 -2.815603e+01 -2.840606e+01 1.763892e-02 3.095730e+01 -2.583698e+01 1.013653e-02 3.506224e-03 2.151572e-02 3.203776e+01
130.000 -4.182051e+01 -1.363811e+00 4.172967e-03 1.487052e+00 -3.837389e+01 1.920979e-02 2.401410e-03 2.089575e-02 3.203774e+01
131.000 -3.028436e+01 2.650056e+01 -1.130162e-02 -2.887994e+01 -2.778694e+01 1.533958e-02 9.908088e-04 2.034917e-02 3.203774e+01
132.000 -4.987028e-01 3.839546e+01 -1.867391e-02 -4.184392e+01 -4.550589e-01 1.664691e-03 -2.547005e-04 2.011027e-02 3.203774e+01
133.000 2.958672e+01 2.715315e+01 -1.372758e-02 -2.959287e+01 2.715072e+01 -1.255379e-02 -1.019993e-03 1.999647e-02 3.203778e+01
134.000 4.184338e+01 -4.504577e-01 -3.910659e-04 4.895956e-01 3.839603e+01 -1.840907e-02 -1.290406e-03 1.981602e-02 3.203779e+01
135.000 2.888645e+01 -2.778281e+01 1.246314e-02 3.027750e+01 2.650548e+01 -1.289845e-02 -1.119716e-03 1.927388e-02 3.203776e+01
136.000 -1.477898e+00 -3.837387e+01 1.695356e-02 4.182115e+01 -1.357380e+00 -3.371808e-04 -8.352699e-04 1.809935e-02 3.203773e+01
137.000 -3.095170e+01 -2.584025e+01 1.103668e-02 2.816320e+01 -2.840227e+01 1.089624e-02 -9.685660e-04 1.638964e-02 3.203775e+01
138.000 -4.177375e+01 2.264315e+00 -6.013479e-04 -2.464919e+00 -3.833171e+01 1.392399e-02 -1.750419e-03 1.456295e-02 3.203776e+01
139.000 -2.742425e+01 2.900425e+01 -1.007498e-02 -3.160717e+01 -2.516383e+01 7.692049e-03 -3.047126e-03 1.305658e-02 3.203776e+01
140.000 3.450489e+00 3.826760e+01 -1.164871e-02 -4.170413e+01 3.166771e+00 -2.895752e-03 -4.488808e-03 1.213391e-02 3.203775e+01
141.000 3.224677e+01 2.447169e+01 -5.136934e-03 -2.667085e+01 2.958944e+01 -1.069671e-02 -5.700266e-03 1.174126e-02 3.203773e+01
142.000 4.161154e+01 -4.071250e+00 4.404358e-03 4.434601e+00 3.818149e+01 -1.109221e-02 -6.172552e-03 1.172984e-02 3.203773e+01
143.000 2.590111e+01 -3.016078e+01 1.059439e-02 3.286744e+01 2.376482e+01 -4.830215e-03 -5.584930e-03 1.153409e-02 3.203776e+01
144.000 -5.416235e+00 -3.807551e+01 1.023089e-02 4.149417e+01 -4.971795e+00 3.220393e-03 -4.407350e-03 1.067201e-02 3.203779e+01
145.000 -3.346969e+01 -2.304762e+01 4.747434e-03 2.511784e+01 -3.071243e+01 7.969116e-03 -3.263724e-03 9.120273e-03 3.203778e+01
146.000 -4.135561e+01 5.868417e+00 -1.611976e-03 -6.394663e+00 -3.794694e+01 7.336079e-03 -2.601179e-03 7.080850e-03 3.203775e+01
147.000 -2.432051e+01 3.124847e+01 -4.967929e-03 -3.405441e+01 -2.231434e+01 2.911862e-03 -2.672180e-03 4.987930e-03 3.203774e+01
148.000 7.369692e+00 3.779764e+01 -4.116506e-03 -4.119268e+01 6.764915e+00 -1.771225e-03 -3.343111e-03 3.379330e-03 3.203776e+01
149.000 3.461822e+01 2.157071e+01 -7.332266e-04 -2.350926e+01 3.176735e+01 -3.848965e-03 -4.045429e-03 2.490096e-03 3.203777e+01
150.000 4.100684e+01 -7.653767e+00 2.357470e-03 8.339940e+00 3.762811e+01 -2.886805e-03 -4.271585e-03 2.173551e-03 3.203777e+01
151.000 2.268564e+01 -3.226660e+01 3.387096e-03 3.516429e+01 2.081545e+01 -4.832662e-04 -3.865416e-03 1.966766e-03 3.203775e+01
152.000 -9.306261e+00 -3.743595e+01 2.528011e-03 4.079934e+01 -8.540711e+00 1.355724e-03 -3.029990e-03 1.554725e-03 3.203774e+01
153.000 -3.569034e+01 -2.004585e+01 1.274302e-03 2.184861e+01 -3.275031e+01 1.744905e-03 -1.835030e-03 8.387056e-04 3.203775e+01
154.000 -4.056714e+01 9.423681e+00 7.854099e-04 -1.026741e+01 -3.722430e+01 1.466001e-03 -6.055461e-04 -2.491157e-04 3.203779e+01
155.000 -2.099931e+01 3.321436e+01 7.235413e-04 -3.619582e+01 -1.926820e+01 1.706057e-03 3.099638e-04 -1.409168e-03 3.203780e+01
156.000 1.122247e+01 3.699149e+01 -7.040357e-05 -4.031389e+01 1.029830e+01 2.448253e-03 9.829976e-04 -2.359207e-03 3.203777e+01
157.000 3.668261e+01 1.847777e+01 -1.966354e-03 -2.013892e+01 3.365961e+01 2.416909e-03 1.621589e-03 -3.053625e-03 3.203775e+01
158.000 4.003769e+01 -1.117091e+01 -3.757122e-03 1.217184e+01 3.673718e+01 5.110348e-04 2.316018e-03 -3.534016e-03 3.203776e+01
159.000 1.926676e+01 -3.408762e+01 -3.575594e-03 3.714718e+01 1.767715e+01 -2.773001e-03 3.155645e-03 -3.894391e-03 3.203778e+01
160.000 -1.311330e+01 -3.646419e+01 -5.936976e-04 3.973847e+01 -1.203433e+01 -5.291202e-03 4.097071e-03 -4.267654e-03 3.203778e+01
161.000 -3.759197e+01 -1.686890e+01 3.792180e-03 1.838441e+01 -3.449455e+01 -4.736256e-03 4.943184e-03 -4.689906e-03 3.203776e+01
162.000 -3.941864e+01 1.289153e+01 6.523280e-03 -1.404845e+01 -3.616914e+01 -7.223337e-04 5.452873e-03 -5.047066e-03 3.203774e+01
163.000 -1.749156e+01 3.488368e+01 5.164009e-03 -3.801614e+01 -1.604782e+01 4.491378e-03 5.839382e-03 -4.991086e-03 3.203774e+01
164.000 1.497563e+01 3.585447e+01 -1.588322e-04 -3.907508e+01 1.374405e+01 7.228342e-03 6.563460e-03 -4.544041e-03 3.203777e+01
165.000 3.841784e+01 1.522014e+01 -6.316495e-03 -1.658828e+01 3.525350e+01 4.802357e-03 7.713270e-03 -3.899846e-03 3.203780e+01
166.000 3.871061e+01 -1.458506e+01 -8.802085e-03 1.589400e+01 3.552067e+01 -2.094390e-03 9.290693e-03 -3.285483e-03 3.203778e+01
167.000 1.567677e+01 -3.560212e+01 -4.992893e-03 3.879975e+01 1.438383e+01 -9.156978e-03 1.111630e-02 -3.047412e-03 3.203774e+01
168.000 -1.680446e+01 -3.516514e+01 3.381478e-03 3.832491e+01 -1.542111e+01 -1.118106e-02 1.269797e-02 -3.301055e-03 3.203774e+01
169.000 -3.915878e+01 -1.353742e+01 1.090039e-02 1.475580e+01 -3.593283e+01 -5.991639e-03 1.359826e-02 -3.749674e-03 3.203776e+01
170.000 -3.791665e+01 1.624729e+01 1.211885e-02 -1.770400e+01 -3.479207e+01 3.528166e-03 1.379360e-02 -3.961127e-03 3.203776e+01
171.000 -1.382723e+01 3.624209e+01 5.557531e-03 -3.949590e+01 -1.268717e+01 1.106366e-02 1.353715e-02 -3.555064e-03 3.203775e+01
172.000 1.859476e+01 3.439873e+01 -4.750901e-03 -3.748874e+01 1.706283e+01 1.107590e-02 1.321555e-02 -2.474044e-03 3.203773e+01
173.000 3.981231e+01 1.182669e+01 -1.173505e-02 -1.289088e+01 3.653112e+01 2.993711e-03 1.323639e-02 -8.052647e-04 3.203773e+01
